label_type,label_id,label_name
activity,0,moving
activity,1,none
activity,2,rotating
activity,3,running
activity,4,sitting
activity,5,standing
activity,6,stationary
activity,7,walking
environment,0,empty_area
environment,1,empty_room
environment,2,furnished_room
environment,3,hallway
environment,4,indoor
environment,5,lab
environment,6,office
environment,7,other
object_type,0,glass_can
object_type,1,metal
object_type,2,metal_can
object_type,3,multiple_people
object_type,4,no_object
object_type,5,ordinary object
object_type,6,ordinary_object
object_type,7,other
object_type,8,person
object_type,9,plastic_bottles
object_type,10,static_object
object_type,11,wood
