session_id,recording_group,activity_label,environment_label,device_id,person_id_anonymized,distance_m,object_type,csi_shape,agc_shape,fft_shape,sampling_rate_hz,files_present
session_20260118_224110,01_human_activity,sitting,hallway,,P01,9,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json
session_20260118_224252,01_human_activity,walking,hallway,,P01,9,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json
session_20260124_222743,01_human_activity,walking,empty_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260129_125627,01_human_activity,walking,office,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_151815,01_human_activity,standing,furnished_room,,P01,2,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260130_153955,01_human_activity,running,hallway,,P01,4,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260206_114024,01_human_activity,walking,empty_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260207_172203,01_human_activity,walking,empty_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260207_221656,01_human_activity,walking,empty_room,,P01,3,person,300x64,300,300,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json
session_20260214_172807,01_human_activity,walking,empty_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260214_174718,01_human_activity,walking,empty_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260214_204437,01_human_activity,sitting,furnished_room,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260226_124753,01_human_activity,walking,office,,P01,3,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_195850,01_human_activity,standing,empty_area,,P01,2,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_200259,01_human_activity,sitting,empty_area,,P01,2,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_200440,01_human_activity,sitting,empty_area,,P01,2,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_200824,01_human_activity,standing,empty_area,,P01,2,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_201058,01_human_activity,moving,empty_area,,P01,2,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_201331,01_human_activity,walking,other,,P01,2,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260327_201749,01_human_activity,sitting,empty_area,,P01,2,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260405_153122,01_human_activity,walking,lab,,P01,5,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260405_153349,01_human_activity,rotating,lab,,P01,5,person,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_131802,01_human_activity,sitting,lab,,P01,4,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_133223,01_human_activity,sitting,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_133257,01_human_activity,sitting,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_133449,01_human_activity,moving,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_133719,01_human_activity,stationary,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_133856,01_human_activity,sitting,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_134137,01_human_activity,moving,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_135330,01_human_activity,walking,lab,,P01,1,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_135524,01_human_activity,standing,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_135642,01_human_activity,moving,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260406_135936,01_human_activity,walking,lab,,P01,5,multiple_people,200x64,200,200,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_165357,01_human_activity,moving,furnished_room,,P01,2,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_165603,01_human_activity,walking,furnished_room,,P01,2,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_170300,01_human_activity,sitting,furnished_room,,P01,3,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_170409,01_human_activity,sitting,furnished_room,,P01,3,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_170615,01_human_activity,sitting,furnished_room,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_170646,01_human_activity,sitting,furnished_room,,P01,3,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_172319,01_human_activity,sitting,hallway,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260417_173511,01_human_activity,sitting,hallway,,P01,1,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_152527,01_human_activity,moving,lab,,P01,6,person,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
session_20260422_152828,01_human_activity,sitting,lab,,P01,6,multiple_people,500x64,500,500,,metadata.json;events.csv;csi_data.npy;agc_data.npy;fft_data.npy;session_info.json;rf_summary.json
